Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,1,3,4,1343,1325,1451,1435,WN,588,N240WN,68,70,55,16,18,HOU,LIT,393,4,9,0,,0,16,0,0,0,0
2008,1,3,4,1125,1120,1247,1245,WN,1343,N523SW,82,85,71,2,5,HOU,MAF,441,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,2009,2015,2136,2140,WN,3841,N280WN,87,85,71,-4,-6,HOU,MAF,441,2,14,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,903,855,1203,1205,WN,3,N308SA,120,130,108,-2,8,HOU,MCO,848,5,7,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1423,1400,1726,1710,WN,25,N462WN,123,130,107,16,23,HOU,MCO,848,6,10,0,,0,16,0,0,0,0
2008,1,3,4,2024,2020,2325,2325,WN,51,N483WN,121,125,101,0,4,HOU,MCO,848,13,7,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1753,1745,2053,2050,WN,940,N493WN,120,125,107,3,8,HOU,MCO,848,6,7,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,622,620,935,930,WN,2621,N266WN,133,130,107,5,2,HOU,MCO,848,7,19,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1944,1945,2210,2215,WN,389,N266WN,146,150,124,-5,-1,HOU,MDW,937,7,15,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1453,1425,1716,1650,WN,519,N514SW,143,145,124,26,28,HOU,MDW,937,6,13,0,,0,11,0,0,0,15
2008,1,3,4,2030,2015,2251,2245,WN,894,N716SW,141,150,122,6,15,HOU,MDW,937,11,8,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,708,615,936,840,WN,969,N215WN,148,145,128,56,53,HOU,MDW,937,10,10,0,,0,53,0,3,0,0
2008,1,3,4,1749,1730,2039,2000,WN,2174,N623SW,170,150,128,39,19,HOU,MDW,937,34,8,0,,0,10,0,20,0,9
2008,1,3,4,1217,1215,1431,1440,WN,2445,N651SW,134,145,124,-9,2,HOU,MDW,937,4,6,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,954,940,1206,1205,WN,2974,N447WN,132,145,120,1,14,HOU,MDW,937,5,7,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1758,1800,1854,1900,WN,41,N240WN,56,60,45,-6,-2,HOU,MSY,303,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,2210,2120,2305,2215,WN,78,N268WN,55,55,44,50,50,HOU,MSY,303,3,8,0,,0,6,0,0,0,44
2008,1,3,4,740,740,836,840,WN,311,N504SW,56,60,45,-4,0,HOU,MSY,303,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1011,1005,1116,1105,WN,521,N332SW,65,60,49,11,6,HOU,MSY,303,4,12,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1612,1520,1707,1620,WN,714,N305SW,55,60,44,47,52,HOU,MSY,303,4,7,0,,0,0,0,0,0,47
2008,1,3,4,1124,1115,1229,1215,WN,788,N426WN,65,60,45,14,9,HOU,MSY,303,5,15,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,824,825,922,925,WN,880,N523SW,58,60,46,-3,-1,HOU,MSY,303,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,2112,2015,2207,2110,WN,1257,N507SW,55,55,44,57,57,HOU,MSY,303,4,7,0,,0,0,0,0,0,57
2008,1,3,4,641,640,737,740,WN,1317,N366SW,56,60,45,-3,1,HOU,MSY,303,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1713,1710,1810,1810,WN,1776,N408WN,57,60,43,0,3,HOU,MSY,303,4,10,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1414,1410,1516,1510,WN,3234,N296WN,62,60,44,6,4,HOU,MSY,303,4,14,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1915,1820,2138,2035,WN,1192,N274WN,263,255,250,63,55,HOU,OAK,1642,5,8,0,,0,35,0,8,0,20
2008,1,3,4,929,930,1138,1145,WN,2011,N292WN,249,255,237,-7,-1,HOU,OAK,1642,3,9,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1214,1125,1335,1240,WN,877,N362SW,81,75,65,55,49,HOU,OKC,419,3,13,0,,0,12,0,6,0,37
2008,1,3,4,1318,1315,1434,1430,WN,956,N728SW,76,75,64,4,3,HOU,OKC,419,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1735,1715,1858,1835,WN,1230,N677AA,83,80,68,23,20,HOU,OKC,419,4,11,0,,0,10,0,3,0,10
2008,1,3,4,904,900,1018,1015,WN,1916,N357SW,74,75,62,3,4,HOU,OKC,419,3,9,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1555,1520,2007,1930,WN,31,N793SA,192,190,174,37,35,HOU,PHL,1335,5,13,0,,0,12,0,2,0,23
2008,1,3,4,807,735,1213,1140,WN,476,N237WN,186,185,174,33,32,HOU,PHL,1335,4,8,0,,0,0,0,1,31,1
2008,1,3,4,926,920,1112,1115,WN,1481,N227WN,166,175,154,-3,6,HOU,PHX,1020,3,9,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1544,1340,1728,1535,WN,1600,N769SW,164,175,152,113,124,HOU,PHX,1020,3,9,0,,0,113,0,0,0,0
2008,1,3,4,1931,1805,2119,2000,WN,2100,N704SW,168,175,153,79,86,HOU,PHX,1020,6,9,0,,0,21,0,0,0,58
2008,1,3,4,2206,2120,2353,2315,WN,3154,N252WN,167,175,156,38,46,HOU,PHX,1020,4,7,0,,0,9,0,0,0,29
2008,1,3,4,658,655,847,850,WN,3230,N728SW,169,175,156,-3,3,HOU,PHX,1020,5,8,0,,0,NA,NA,NA,NA,NA
